ID,RU
AMPT_0001_I_0001_1,"Этот тест определяет вашу способность распознавать неверные ноты\\Вы  услышите несколько коротких музыкальных отрывков .\\В некоторых из них вокалист попадает в ноты музыкального отрывка, а в некоторых не попадает.\\ Ваша задача - определить, попадает ли вокалист в ноты или нет.\\ Нажмите ""продолжить"", чтобы перейти к примерам. "
AMPT_0002_I_0001_1,**Пример - вокалист попадает в ноты**\\\\В этом примере вокалист попадает в ноты музыкального отрывка.
AMPT_0003_I_0001_1,**Пример - вокалист не попадает в ноты**\\\\В этом примере вокалист не попадает в ноты музыкального отрывка.
AMPT_0004_I_0001_1,"В этом тесте вы услышите две версии одного и того же музыкального отрывка одну за другой.\\В одной версии вокалист будет попадать в ноты, а другой версии нет.\\Ваша задача - определить, в какой из версий вокалист не попал в ноты.\\Нажмите "продолжить", чтобы прослушать примеры."
AMPT_0005_I_0001_1,**Пример задания 1/2**\\\\В какой из версий вокалист не попал в ноты? 
AMPT_0005_R_0001_1,В первой
AMPT_0005_R_0002_1,Во второй
AMPT_0006_I_0001_1,"**Неверно!**\\\\Нажмите ""продолжить"", чтобы перейти к следующему примеру."
AMPT_0007_I_0001_1,"**Верно!**\\\\Нажмите ""продолжить"", чтобы перейти к следующему примеру."
AMPT_0008_I_0001_1,**Пример задания 2/2**\\\\В какой из версий вокалист не попал в ноты? 
AMPT_0009_I_0001_1,**Верно!**
AMPT_0010_I_0001_1,"**Неверно!**\\Нажмите ""назад"", чтобы увидеть инструкцию и прослушать примеры еще раз, или нажмите ""продолжить"", чтобы перейти к тесту. "
AMPT_0011_I_0001_1,"**Сейчас начнется тест, во время которого ваши ответы будут записаны.**\\Во время теста вам не будет сообщаться, верно или неверно вы ответили. Удачи!"
AMPT_0012_I_0001_1,Задание {{num_question}} из {{test_length}}
AMPT_0013_I_0001_1,"В какой из версий вокалист не попал в ноты? \\Если вы не уверены, попробуте предположить! "
AMPT_0014_I_0001_1,"Вы завершили тест на распознавание неверных нот!\\Ваш результат и его сооношение с другими участниками, выполнившими этот тест, вы можете увидеть ниже: "
AMPT_0015_I_0001_1,продолжить
AMPT_0016_I_0001_1,назад
AMPT_0017_I_0001_1,Вы закончили тест на распознавание неверных нот!
enter_p_id,Введите логин участника.
results_have_been_saved,Ваш результат записан.
you_may_close_browser,Теперь можно закрыть окно браузера.
demo_intro, "Добро пожаловать в тест на распознавание неверных нот!\\Этот тест подстраивается под ваши ответы. Если вы отвечаете верно, задания будут усложняться.\\Обычно эта процедура скрыта от тестируемого, но для данной демонстрации мы покажем вам ваш результат и соответствующий уровень сложности каждого задания."
click_here_to_play,"Для воспроизведения нажмите сюда"
